"system_name","namespace","type_name","system_kind","side_hint","purpose_hint","tick_hint","tick_semantics","evidence","needs_runtime_verification","source"
"ProjectM.ActiveRefinementSequenceSystem","ProjectM","ActiveRefinementSequenceSystem","system","shared/unknown","events/timing","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.ActiveResearchstationSequenceSystem","ProjectM","ActiveResearchstationSequenceSystem","system","shared/unknown","events/timing","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.ActiveSalvageSequenceSystem","ProjectM","ActiveSalvageSequenceSystem","system","shared/unknown","events/timing","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.ActiveUnitSpawnerstationSequenceSystem","ProjectM","ActiveUnitSpawnerstationSequenceSystem","system","shared/unknown","entities/spawn","spawn lifecycle hint","spawn_lifecycle","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.ActuallyDisableSystem","ProjectM","ActuallyDisableSystem","system","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AdditionalInteractBuffComponentDestroySystem","ProjectM","AdditionalInteractBuffComponentDestroySystem","system","shared/unknown","buffs/effects","destroy/cleanup hint","destroy_cleanup","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AdditionalInteractBuffComponentSpawnSystem","ProjectM","AdditionalInteractBuffComponentSpawnSystem","system","shared/unknown","buffs/effects","spawn lifecycle hint","spawn_lifecycle","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AddRecommendedTerritoryMarkerSystems","ProjectM","AddRecommendedTerritoryMarkerSystems","type/reference","shared/unknown","castle/building","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AddShowOnBuffFromMultipleSourcesSystem","ProjectM","AddShowOnBuffFromMultipleSourcesSystem","system","shared/unknown","buffs/effects","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AdjustCurrentChargesOnGameplayEvents","ProjectM","AdjustCurrentChargesOnGameplayEvents","type/reference","shared/unknown","events/timing","simulation/update hint","simulation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AdjustCurrentChargesOnGameplayEvents_Initialize","ProjectM","AdjustCurrentChargesOnGameplayEvents_Initialize","type/reference","shared/unknown","events/timing","initialization/baking hint","initialization","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AdjustCurrentCooldownOnGameplayEvents","ProjectM","AdjustCurrentCooldownOnGameplayEvents","type/reference","shared/unknown","events/timing","simulation/update hint","simulation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AdjustCurrentCooldownOnGameplayEvents_Initialize","ProjectM","AdjustCurrentCooldownOnGameplayEvents_Initialize","type/reference","shared/unknown","events/timing","initialization/baking hint","initialization","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AdjustLifetimeOnGameplayEvents","ProjectM","AdjustLifetimeOnGameplayEvents","type/reference","shared/unknown","events/timing","simulation/update hint","simulation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AdjustLifetimeOnGameplayEvents_Initialize","ProjectM","AdjustLifetimeOnGameplayEvents_Initialize","type/reference","shared/unknown","events/timing","initialization/baking hint","initialization","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AdminAuthClientSystem","ProjectM","AdminAuthClientSystem","system","shared/unknown","unknown; research required","client-world hint","client_world","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AdminAuthSystem","ProjectM","AdminAuthSystem","system","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AfterDeserializationGroup","ProjectM","AfterDeserializationGroup","group","shared/unknown","scheduling/group boundary","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AfterDestroyGroup_Server","ProjectM","AfterDestroyGroup_Server","type/reference","server","scheduling/group boundary","destroy/cleanup hint","destroy_cleanup","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AfterLoadUpdateDayNightCycleSystem","ProjectM","AfterLoadUpdateDayNightCycleSystem","system","shared/unknown","persistence","simulation/update hint","simulation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AfterRecursiveSpawnDestroyBarrier","ProjectM","AfterRecursiveSpawnDestroyBarrier","barrier","shared/unknown","entities/spawn","destroy/cleanup hint","destroy_cleanup","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AfterRecursiveSpawnDestroyGroup","ProjectM","AfterRecursiveSpawnDestroyGroup","group","shared/unknown","entities/spawn","destroy/cleanup hint","destroy_cleanup","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AfterSerializeGroup","ProjectM","AfterSerializeGroup","group","shared/unknown","persistence","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AiGroup","ProjectM","AiGroup","group","shared/unknown","AI/navigation","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AimAssistConfigurationsSystem","ProjectM","AimAssistConfigurationsSystem","system","shared/unknown","AI/navigation","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AimAssistSystem","ProjectM","AimAssistSystem","system","shared/unknown","AI/navigation","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AiMoveSystem_Client_ReactToDisabled","ProjectM","AiMoveSystem_Client_ReactToDisabled","type/reference","client","AI/navigation","client-world hint","client_world","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AiMoveSystem_Client_Spawn","ProjectM","AiMoveSystem_Client_Spawn","type/reference","client","AI/navigation","spawn lifecycle hint","spawn_lifecycle","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AimPreviewGroup","ProjectM","AimPreviewGroup","group","shared/unknown","AI/navigation","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AimPreviewSplines.System.AimPreviewMeshGenSystem","ProjectM.AimPreviewSplines.System","AimPreviewMeshGenSystem","system","shared/unknown","AI/navigation","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AiSubGroup1","ProjectM","AiSubGroup1","type/reference","shared/unknown","AI/navigation","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AiSubGroup2","ProjectM","AiSubGroup2","type/reference","shared/unknown","AI/navigation","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AlertAlliesOnDeathSystem","ProjectM","AlertAlliesOnDeathSystem","system","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AllowJumpFromCliffsBuffDestroySystem","ProjectM","AllowJumpFromCliffsBuffDestroySystem","system","shared/unknown","buffs/effects","destroy/cleanup hint","destroy_cleanup","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AllowJumpFromCliffsBuffSpawnSystem","ProjectM","AllowJumpFromCliffsBuffSpawnSystem","system","shared/unknown","buffs/effects","spawn lifecycle hint","spawn_lifecycle","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AlternatingServerUpdateSystem","ProjectM","AlternatingServerUpdateSystem","system","shared/unknown","events/timing","server-world hint","server_world","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Apply_BuffModificationsSystem_Client","ProjectM","Apply_BuffModificationsSystem_Client","type/reference","client","buffs/effects","client-world hint","client_world","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Apply_BuffModificationsSystem_Server","ProjectM","Apply_BuffModificationsSystem_Server","type/reference","server","buffs/effects","server-world hint","server_world","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Apply_KnockbackResistanceBuff","ProjectM","Apply_KnockbackResistanceBuff","type/reference","shared/unknown","buffs/effects","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.ApplyBuffOnGameplayEvents","ProjectM","ApplyBuffOnGameplayEvents","type/reference","shared/unknown","buffs/effects","simulation/update hint","simulation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.ApplyBuffOnGameplayEvents_Initialize","ProjectM","ApplyBuffOnGameplayEvents_Initialize","type/reference","shared/unknown","buffs/effects","initialization/baking hint","initialization","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.ApplyKnockbackOnGameplayEvents","ProjectM","ApplyKnockbackOnGameplayEvents","type/reference","shared/unknown","events/timing","simulation/update hint","simulation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.ApplyKnockbackOnGameplayEvents_Initialize","ProjectM","ApplyKnockbackOnGameplayEvents_Initialize","type/reference","shared/unknown","events/timing","initialization/baking hint","initialization","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AreaSequenceSystem","ProjectM","AreaSequenceSystem","system","shared/unknown","events/timing","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AssetSubSceneStreamingHandler<TSingleton>","ProjectM","AssetSubSceneStreamingHandler<TSingleton>","type/reference","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AttachParentIdSystem","ProjectM","AttachParentIdSystem","system","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AttachSystem_ReactToPersistenceLoad","ProjectM","AttachSystem_ReactToPersistenceLoad","type/reference","shared/unknown","persistence","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AttachSystem_Spawn","ProjectM","AttachSystem_Spawn","type/reference","shared/unknown","entities/spawn","spawn lifecycle hint","spawn_lifecycle","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AttachSystemBase","ProjectM","AttachSystemBase","type/reference","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Audio.DebugSoundEventSystem","ProjectM.Audio","DebugSoundEventSystem","system","shared/unknown","presentation","presentation hint","presentation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Audio.FootstepSystem","ProjectM.Audio","FootstepSystem","system","shared/unknown","presentation","presentation hint","presentation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Audio.IdleAISoundSystem","ProjectM.Audio","IdleAISoundSystem","system","shared/unknown","AI/navigation","presentation hint","presentation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Audio.MusicAmbienceSystem","ProjectM.Audio","MusicAmbienceSystem","system","shared/unknown","presentation","presentation hint","presentation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Audio.StudioEventSystem","ProjectM.Audio","StudioEventSystem","system","shared/unknown","presentation","presentation hint","presentation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Audio.StudioListenerSystem","ProjectM.Audio","StudioListenerSystem","system","shared/unknown","presentation","presentation hint","presentation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Audio.StudioManagerSystem","ProjectM.Audio","StudioManagerSystem","system","shared/unknown","presentation","presentation hint","presentation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Audio.UIAudioSystem","ProjectM.Audio","UIAudioSystem","system","shared/unknown","presentation","presentation hint","presentation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.AudioGroup","ProjectM","AudioGroup","group","shared/unknown","presentation","presentation hint","presentation","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Auth.EOSPlatformSystem","ProjectM.Auth","EOSPlatformSystem","system","shared/unknown","networking","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.Auth.PlatformSystemBase","ProjectM.Auth","PlatformSystemBase","type/reference","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.BacktraceSystem","ProjectM","BacktraceSystem","system","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.BagEquipTagSystem_Destroy","ProjectM","BagEquipTagSystem_Destroy","type/reference","shared/unknown","presentation","destroy/cleanup hint","destroy_cleanup","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.BagEquipTagSystem_Spawn","ProjectM","BagEquipTagSystem_Spawn","type/reference","shared/unknown","presentation","spawn lifecycle hint","spawn_lifecycle","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.BagHolderBakingSystem","ProjectM","BagHolderBakingSystem","system","shared/unknown","unknown; research required","unknown; inspect UpdateInGroup/runtime schedule","unknown","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.BakeStaticTileDataSystem","ProjectM","BakeStaticTileDataSystem","system","shared/unknown","castle/building","initialization/baking hint","initialization","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.BecomeObserverSystem","ProjectM","BecomeObserverSystem","system","shared/unknown","unknown; research required","server-world hint","server_world","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.BeforeSerializeBarrierGroup","ProjectM","BeforeSerializeBarrierGroup","group","shared/unknown","persistence","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.BeforeSpawnGroup","ProjectM","BeforeSpawnGroup","group","shared/unknown","entities/spawn","spawn lifecycle hint","spawn_lifecycle","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.BeforeStartSimulationGroupBarrier","ProjectM","BeforeStartSimulationGroupBarrier","barrier","shared/unknown","scheduling/group boundary","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
"ProjectM.BeforeTransformSystemGroup","ProjectM","BeforeTransformSystemGroup","group","shared/unknown","baking/conversion","system-group boundary hint","group_barrier","type name heuristic only; verify Unity UpdateInGroup/order and live world","True","https://github.com/Odjit/KindredExtract/blob/main/SystemsQueryExtraction.tt"
